天数,感染,治愈,天数,感染
53,7711,,1,1
52,5974,,2,1
51,4515,,3,1
50,2744,,4,1
49,1975,,5,1
48,1287,,6,1
47,830,,7,1
46,571,,8,1
45,440,,9,1
44,270,,10,1
43,198,,11,1
42,121,,12,1
41,62,,13,1
40,45,,14,1
39,41,,15,1
38,41,,16,1
37,41,,17,1
36,41,,18,1
35,41,,19,1
34,41,,20,1
33,41,,21,1
32,41,,22,1
31,41,,23,7
30,41,,24,27
29,41,,25,27
28,59,,26,27
27,44,,27,44
26,27,,28,59
25,27,,29,41
24,27,,30,41
23,7,,31,41
22,1,,32,41
21,1,,33,41
20,1,,34,41
19,1,,35,41
18,1,,36,41
17,1,,37,41
16,1,,38,41
15,1,,39,41
14,1,,40,45
13,1,,41,62
12,1,,42,121
11,1,,43,198
10,1,,44,270
9,1,,45,440
8,1,,46,571
7,1,,47,830
6,1,,48,1287
5,1,,49,1975
4,1,,50,2744
3,1,,51,4515
2,1,,52,5974
1,1,,53,7711
